mapped_page,rank,keyword,avg_monthly,competition,top_bid_high,source_group
Tiles (L1),1,tile showroom chennai,5000,Low,18.48,core
Tiles (L1),2,simpolo tiles chennai,500,Low,66.39,core
Tiles (L1),3,kag tiles showroom chennai,500,Low,44.5,core
Sanitaryware (L1),1,sanitaryware chennai,50,Medium,24.98,core
Sanitaryware (L1),2,cera sanitaryware dealers in chennai,50,Low,0.0,core
Sanitaryware (L1),3,hindware sanitaryware dealers in chennai,50,Unknown,0.0,core
Toilets and Water Closets (L2),1,western toilet price chennai,500,High,29.32,core
Toilets and Water Closets (L2),2,cera western toilet price in chennai,50,Unknown,0.0,core
Toilets and Water Closets (L2),3,hindustan western toilet price in chennai,50,Unknown,0.0,core
Wash Basins (L2),1,wash basin chennai,50,High,25.48,core
Wash Basins (L2),2,wash basin price in chennai,50,High,18.3,core
Wash Basins (L2),3,parryware wash basin price in chennai,50,High,0.0,core
Bathroom Fittings / Fixtures (L1),1,bathroom fittings wholesale in chennai,500,High,51.31,core
Bathroom Fittings / Fixtures (L1),2,bathroom fittings chennai,500,High,45.45,core
Bathroom Fittings / Fixtures (L1),3,bathroom fittings showroom in chennai,50,High,42.23,core
Taps & Faucets (L2),1,jaquar taps service centre chennai,50,Unknown,0.0,core
Taps & Faucets (L2),2,metro taps price list in chennai,50,Unknown,0.0,core
Taps & Faucets (L2),3,waterman taps price in chennai,50,High,0.0,core
Bath & Wellness (L2),1,bathtub chennai,50,High,23.78,core
Bath & Wellness (L2),2,rooms with bathtub in chennai,50,High,22.29,core
Bath & Wellness (L2),3,oyo rooms with bathtub in chennai,50,Medium,19.39,core
Sinks (L2),1,kitchen sink chennai,500,High,21.33,core
Sinks (L2),2,carysil sink chennai,50,High,5.6,core
Sinks (L2),3,carysil sink in chennai,50,Unknown,0.0,core
